n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.21, err=5.3726126575958055
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.22, err=5.370116090375733
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.23, err=5.3726126575958055
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.24, err=5.375109224815878
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.25, err=5.360129821495444
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.26, err=5.367619523155661
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.27, err=5.370116090375733
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.28, err=5.375109224815878
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.29, err=5.385095493696167
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.3, err=5.385095493696167
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.31, err=5.385095493696167
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.32, err=5.38759206091624
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.33, err=5.38759206091624
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.34, err=5.38759206091624
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.35000000000000003, err=5.390088628136312
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.36, err=5.39757832979653
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.37, err=5.39757832979653
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.38, err=5.390088628136312
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.39, err=5.390088628136312
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.4, err=5.395081762576457
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.41000000000000003, err=5.395081762576457
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.42, err=5.39757832979653
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.43, err=5.400074897016602
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.44, err=5.402571464236675
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.45, err=5.402571464236675
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.46, err=5.402571464236675
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.47000000000000003, err=5.4100611658968925
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.48, err=5.377605792035951
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.49, err=5.377605792035951
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.5, err=5.380102359256023
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.51, err=5.377605792035951
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.52, err=5.377605792035951
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.53, err=5.38759206091624
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.54, err=5.392585195356385
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.55, err=5.385095493696167
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.56, err=5.38759206091624
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.5700000000000001, err=5.380102359256023
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.58, err=5.375109224815878
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.59, err=5.370116090375733
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.6, err=5.3726126575958055
